Tasa_De_Política_Monetaria Inflación_Total
30 18.03
30 19.24
30 20.74
32 20.67
32 20.69
32 20.27
32 18.94
32 17.8
32 17.09
28 16.35
26 16.7
26 17.18
24 15.38
20 13.51
19 11.17
18 9.98
18 8.96
17 8.78
16 9.28
16 9.33
15 9.32
13 9.65
12 9.23
12 8.25
12 8.89
12 9.73
12 9.96
12 10
12 9.68
12 9.29
12 9.1
12 9.2
12 8.99
12 8.82
12 8.75
12 8.49
12 8.06
11.5 7.81
11.5 7.98
11.5 7.87
11.5 7.93
11 8.09
10 8.03
9.5 7.97
9.25 8.01
8.75 7.78
8.5 7.65
8 7.37
8 6.7
7.25 5.89
6.25 5.65
5.75 5.84
5.25 6.25
5.25 6.16
5.25 5.98
5.25 5.97
5.25 6.37
5.25 7.07
5.25 6.99
6.25 7.39
6.25 7.24
6.25 7.6
7.25 7.85
7.25 7.73
7.25 7.21
7.25 7.04
7.25 7.26
7.25 7.11
7.25 6.58
7.25 6.13
7.25 6.49
7.25 6.19
7 6.28
6.75 6.21
6.75 5.49
6.75 5.37
6.75 6.07
6.75 6.19
6.75 5.89
6.75 5.97
6.75 5.9
6.75 5.82
6.5 5.5
6.5 5.43
6.5 5.25
6.5 5.03
6.5 5.01
6.5 5.04
6.5 4.83
6.5 4.91
6.5 4.88
6 5.02
6 5.27
6 5.1
6 4.85
6 4.56
6 4.19
6 4.11
6 4.12
6.25 4.04
6.5 3.94
6.5 4.32
6.75 4.72
6.75 4.58
7.25 4.19
7.25 4.31
7.5 4.48
7.75 4.71
8 5.25
8.25 5.78
8.25 6.26
8.75 6.23
9 6.03
9.25 5.77
9.25 5.22
9.25 5
9.25 5.16
9.5 5.41
9.5 5.69
9.5 6
9.75 6.35
9.75 5.93
9.75 5.73
9.75 6.39
9.75 7.18
10 7.52
10 7.87
10 7.57
10 7.94
10 7.73
9.5 7.67
9.5 7.18
9 6.47
7 6.14
7 5.73
6 4.77
4.5 3.81
4.5 3.28
4.5 3.13
4 3.21
4 2.72
3.5 2.37
3.5 2
3.5 2.1
3.5 2.09
3.5 1.84
3.5 1.98
3 2.07
3 2.25
3 2.24
3 2.31
3 2.28
3 2.33
3 2.59
3 3.17
3 3.4
3.25 3.17
3.5 3.19
3.5 2.84
4 3.02
4.25 3.23
4.25 3.42
4.5 3.27
4.5 3.73
4.5 4.02
4.75 3.96
4.75 3.73
5 3.54
5.25 3.55
5.25 3.4
5.25 3.43
5.25 3.44
5.25 3.2
5 3.03
4.75 3.11
4.75 3.08
4.75 3.06
4.5 2.77
4.25 2.44
4 2
3.75 1.83
3.25 1.91
3.25 2.02
3.25 2
3.25 2.16
3.25 2.22
3.25 2.27
3.25 2.27
3.25 1.84
3.25 1.76
3.25 1.94
3.25 2.13
3.25 2.32
3.25 2.51
3.5 2.72
3.5 2.93
4 2.79
4 2.89
4.25 3.02
4.5 2.86
4.5 3.29
4.5 3.65
4.5 3.66
4.5 3.82
4.5 4.36
4.5 4.56
4.5 4.64
4.5 4.41
4.5 4.42
4.5 4.46
4.5 4.74
4.75 5.35
4.75 5.89
5.5 6.39
5.75 6.77
5.75 7.45
6.25 7.59
6.5 7.98
6.5 7.93
7.25 8.2
7.5 8.6
7.5 8.97
7.75 8.1
7.75 7.27
7.75 6.48
7.75 5.96
7.5 5.75
7.5 5.47
7.25 5.18
7 4.69
7 4.66
6.25 4.37
6.25 3.99
5.5 3.4
5.5 3.87
5.25 3.97
5 4.05
4.75 4.12
4.75 4.09
4.5 3.68
4.5 3.37
4.5 3.14
4.25 3.13
4.25 3.16
4.25 3.2
4.25 3.12
4.25 3.1
4.25 3.23
4.25 3.33
4.25 3.27
4.25 3.18
4.25 3.15
4.25 3.01
4.25 3.21
4.25 3.25
4.25 3.31
4.25 3.43
4.25 3.79
4.25 3.75
4.25 3.82
4.25 3.86
4.25 3.84
4.25 3.8
4.25 3.62
4.25 3.72
3.75 3.86
3.75 3.51
3.25 2.85
2.75 2.19
2.5 1.97
2.25 1.88
1.75 1.97
1.75 1.75
1.75 1.49
1.75 1.61
1.75 1.6
1.75 1.56
1.75 1.51
1.75 1.95
1.75 3.3
1.75 3.63
1.75 3.97
1.75 4.44
1.75 4.51
2 4.58
2.5 5.26
4 6.94
4 8.01
5 9.23
6 9.07
6 9.67
7.5 10.21
9 10.84
10 11.44
11 12.22
11 12.53
12.75 13.25
12.75 13.28
13 13.34
13 12.82
13.25 12.36
13.25 12.13
13.25 11.78
13.25 11.43
13.25 10.99
13.25 10.48
13.25 10.15
13 9.28
13 8.35
12.75 7.74
12.25 7.36
12.25 7.16
11.75 7.16
11.75 7.18
11.25 6.86
10.75 6.12
10.75 5.81
10.25 5.41
9.75 5.2
9.5 5.2
9.5 5.22
